GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Bank REST API,default,MavenWrapperDownloader.new Authenticator() {...},17,0,0,0,2,0,2,0,2,0
Bank REST API,default,MavenWrapperDownloader,101,0,8,0,24,0,6,0,2,0
Bank REST API,com.bank.security,JwtAuthenticationEntryPoint,45,0,0,0,11,0,2,0,2,0
Bank REST API,com.bank.security,CustomUserDetailsService,39,0,0,0,8,0,3,0,3,0
Bank REST API,com.bank.security,JwtTokenProvider,56,106,4,2,17,37,4,6,1,6
Bank REST API,com.bank.security,JwtAuthenticationFilter,78,0,8,0,18,0,7,0,3,0
Bank REST API,com.bank.event,TransferCompletedEvent,28,0,0,0,10,0,5,0,5,0
Bank REST API,com.bank.event,CardBlockRequestedEvent,6,10,0,0,2,4,2,1,2,1
Bank REST API,com.bank.event,UserActivityEvent,28,0,0,0,10,0,5,0,5,0
Bank REST API,com.bank.service,CardService,516,195,34,6,95,29,28,9,10,7
Bank REST API,com.bank.service,EncryptionService,20,75,0,4,7,18,1,6,1,4
Bank REST API,com.bank.service,TransactionService,12,0,0,0,2,0,2,0,2,0
Bank REST API,com.bank.service,TransactionReportService,4,162,4,4,0,27,4,3,0,3
Bank REST API,com.bank.service,RateLimitService.RateLimitInfo,133,0,20,0,32,0,16,0,4,0
Bank REST API,com.bank.service,AuditService,152,4,10,0,37,1,11,1,6,1
Bank REST API,com.bank.service,RateLimitService,68,0,4,0,17,0,6,0,4,0
Bank REST API,com.bank.service,PasswordPolicyService,15,136,1,17,2,31,2,11,1,3
Bank REST API,com.bank.service,AuthService,0,23,0,0,0,4,0,3,0,3
Bank REST API,com.bank.service,MonitoringService,184,4,2,0,33,1,10,1,9,1
Bank REST API,com.bank.service,RateLimitService.RateLimitType,21,0,0,0,4,0,1,0,1,0
Bank REST API,com.bank.service,UserService,10,36,0,0,2,5,2,5,2,5
Bank REST API,com.bank,BankApplication,8,0,0,0,3,0,2,0,2,0
Bank REST API,com.bank.validation,StrongPasswordValidator,15,0,2,0,4,0,3,0,2,0
Bank REST API,com.bank.dto,PaginatedResponse,147,0,22,0,13,0,22,0,11,0
Bank REST API,com.bank.dto,PaginatedResponse.PaginationMetadata,210,0,22,0,9,0,29,0,18,0
Bank REST API,com.bank.dto,AuthRequest,115,0,22,0,3,0,20,0,9,0
Bank REST API,com.bank.dto,AuthResponse,121,0,22,0,4,0,20,0,9,0
Bank REST API,com.bank.dto,ErrorResponse,233,0,40,0,7,0,35,0,15,0
Bank REST API,com.bank.dto,CreateCardRequest,235,0,46,0,6,0,38,0,15,0
Bank REST API,com.bank.dto,CardResponseDTO.CardResponseDTOBuilder,72,0,0,0,1,0,10,0,10,0
Bank REST API,com.bank.dto,TransferRequest,155,0,30,0,4,0,26,0,11,0
Bank REST API,com.bank.dto,CardResponseDTO,369,0,64,0,18,0,53,0,21,0
Bank REST API,com.bank.controller,AuthController,119,0,6,0,22,0,6,0,3,0
Bank REST API,com.bank.controller,ReportController,29,0,0,0,6,0,4,0,4,0
Bank REST API,com.bank.controller,CardController,82,0,0,0,17,0,7,0,7,0
Bank REST API,com.bank.controller,AuditController,44,0,4,0,9,0,5,0,3,0
Bank REST API,com.bank.controller,AdminController,119,0,0,0,28,0,7,0,7,0
Bank REST API,com.bank.controller,UserController,38,0,2,0,9,0,4,0,3,0
Bank REST API,com.bank.controller,MonitoringController,81,0,0,0,16,0,5,0,5,0
Bank REST API,com.bank.config,DataInitializer,23,0,0,0,4,0,3,0,3,0
Bank REST API,com.bank.config,AppConfig,26,0,0,0,5,0,2,0,2,0
Bank REST API,com.bank.config,AopConfig,3,0,0,0,1,0,1,0,1,0
Bank REST API,com.bank.config,SimpleDataInitializer,88,0,4,0,27,0,5,0,3,0
Bank REST API,com.bank.config,JacksonConfig,7,0,0,0,2,0,2,0,2,0
Bank REST API,com.bank.config,RateLimitConfig,13,0,0,0,2,0,2,0,2,0
Bank REST API,com.bank.config,SecurityConfig,146,0,0,0,24,0,12,0,12,0
Bank REST API,com.bank.config,OpenApiConfig,60,0,0,0,21,0,2,0,2,0
Bank REST API,com.bank.config,EventConfig,14,0,0,0,4,0,2,0,2,0
Bank REST API,com.bank.exception,CardAlreadyExistsException,4,0,0,0,2,0,1,0,1,0
Bank REST API,com.bank.exception,UnauthorizedAccessException,0,4,0,0,0,2,0,1,0,1
Bank REST API,com.bank.exception,GlobalExceptionHandler,170,0,0,0,51,0,10,0,10,0
Bank REST API,com.bank.exception,CardNotFoundException,0,4,0,0,0,2,0,1,0,1
Bank REST API,com.bank.exception,InsufficientBalanceException,4,0,0,0,2,0,1,0,1,0
Bank REST API,com.bank.repository,CardRepository,6,0,0,0,1,0,1,0,1,0
Bank REST API,com.bank.aspect,LoggingAspect,154,0,0,0,30,0,5,0,5,0
Bank REST API,com.bank.interceptor,RateLimitInterceptor,72,0,8,0,19,0,8,0,4,0
Bank REST API,com.bank.entity,Transaction.TransactionBuilder,63,0,0,0,1,0,9,0,9,0
Bank REST API,com.bank.entity,User,263,63,54,0,7,9,42,11,15,11
Bank REST API,com.bank.entity,AuditLog,502,0,90,0,15,0,74,0,29,0
Bank REST API,com.bank.entity,User.Role,0,15,0,0,0,2,0,1,0,1
Bank REST API,com.bank.entity,Transaction.TransactionStatus,0,21,0,0,0,2,0,1,0,1
Bank REST API,com.bank.entity,Card.CardBuilder,100,0,2,0,1,0,13,0,12,0
Bank REST API,com.bank.entity,Card,376,50,76,0,10,6,54,13,16,13
Bank REST API,com.bank.entity,Transaction,300,0,54,0,10,0,46,0,19,0
Bank REST API,com.bank.entity,Card.CardStatus,0,21,0,0,0,2,0,1,0,1
Bank REST API,com.bank.entity,User.UserBuilder,26,46,0,0,0,1,3,7,3,7
Bank REST API,com.bank.entity,AuditLog.AuditLogBuilder,108,0,0,0,1,0,14,0,14,0
Bank REST API,com.bank.event.handler,CardEventHandler,49,0,0,0,10,0,4,0,4,0
Bank REST API,com.bank.event.handler,NotificationEventHandler,74,0,2,0,14,0,6,0,5,0
